Teams,Wins,Loss,Win-Loss Percentage,Games Behind,Points Per Game,Opponent Points Per Game,Simple Rating System
Milwaukee Bucks,53.0,12.0,0.815,0.0,118.6,107.4,10.44
Toronto Raptors,46.0,18.0,0.719,6.5,113.0,106.5,5.88
Boston Celtics,43.0,21.0,0.672,9.5,113.0,106.8,5.69
Miami Heat,41.0,24.0,0.631,12.0,112.2,108.9,2.58
Indiana Pacers,39.0,26.0,0.6,14.0,109.3,107.4,1.61
Philadelphia 76ers,39.0,26.0,0.6,14.0,109.6,107.4,2.22
Brooklyn Nets,30.0,34.0,0.469,22.5,110.8,111.4,-1.18
Orlando Magic,30.0,35.0,0.462,23.0,106.4,107.3,-0.85
Washington Wizards,24.0,40.0,0.375,28.5,115.6,119.7,-4.86
Charlotte Hornets,23.0,42.0,0.354,30.0,102.9,109.6,-6.88
Chicago Bulls,22.0,43.0,0.338,31.0,106.8,109.9,-3.81
New York Knicks,21.0,45.0,0.318,32.5,105.8,112.3,-6.55
Detroit Pistons,20.0,46.0,0.303,33.5,107.2,110.8,-4.22
Atlanta Hawks,20.0,47.0,0.299,34.0,111.8,119.7,-7.57
Cleveland Cavaliers,19.0,46.0,0.292,34.0,106.9,114.8,-7.57
Los Angeles Lakers,49.0,14.0,0.778,0.0,114.3,106.9,7.75
Los Angeles Clippers,44.0,20.0,0.688,5.5,116.2,109.7,6.74
Denver Nuggets,43.0,22.0,0.662,7.0,110.4,107.4,3.02
Utah Jazz,41.0,23.0,0.641,8.5,111.0,107.9,3.2
Oklahoma City Thunder,40.0,24.0,0.625,9.5,110.8,108.3,2.79
Houston Rockets,40.0,24.0,0.625,9.5,118.1,114.4,3.78
Dallas Mavericks,40.0,27.0,0.597,11.0,116.4,110.3,5.84
Memphis Grizzlies,32.0,33.0,0.492,18.0,112.6,113.7,-1.05
Portland Trail Blazers,29.0,37.0,0.439,21.5,113.6,115.2,-1.11
New Orleans Pelicans,28.0,36.0,0.438,21.5,116.2,117.0,0.3
Sacramento Kings,28.0,36.0,0.438,21.5,109.0,110.9,-1.44
San Antonio Spurs,27.0,36.0,0.429,22.0,113.2,114.9,-1.19
Phoenix Suns,26.0,39.0,0.4,24.0,112.6,113.9,-1.04
Minnesota Timberwolves,19.0,45.0,0.297,30.5,113.3,117.5,-3.78
Golden State Warriors,15.0,50.0,0.231,35.0,106.3,115.0,-7.92
